"full_id","osm_id","osm_type","waterway","website","seamark_ha","sanitary_d","phone","maxlength","maxdraft","maxairdraf","leisure","harbour_wa","harbour_re","harbour_pu","harbour_el","capacity","place","intermitte","name_en","name_de","lock","karst","tourism","natural","ele","ford","wikipedia","width","height","wikidata","seamark_br","seamark_ty","rapids","name","slope_values","area_values","geometry"
"n35359644","35359644","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Moulin Janottat",0.244848624420755,2693.4762580202,c(801896.742973094, 5245822.99420238)
"n282667393","282667393","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cable_overhead",NA,NA,0.00963385249243483,2693.4762580202,c(699687.855334411, 5224037.21966229)
"n332027984","332027984","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,0.122432323468192,2693.4762580202,c(764653.79902034, 5212084.12734544)
"n343322662","343322662","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fixed","bridge",NA,NA,0.0388169947347864,2693.4762580202,c(711460.814254347, 5228228.25118558)
"n352721443","352721443","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q21012650",NA,NA,NA,NA,0.151798523013213,2693.4762580202,c(786898.932739144, 5301733.88372053)
"n352721459","352721459","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q21012645",NA,NA,NA,"Saut de la Truite",0.366842740314791,2693.4762580202,c(786911.258537537, 5301190.54903044)
"n352723596","352723596","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fr:Saut de la Cuvotte","6","3","Q21008283",NA,NA,NA,"Saut de la Cuvotte",0.292815128355443,2693.4762580202,c(787208.449851077, 5299214.27844095)
"n387252472","387252472","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198586992012757,2693.4762580202,c(793122.587505514, 5270763.79250249)
"n391609418","391609418","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.116769811597303,2693.4762580202,c(738919.251138345, 5224797.80584811)
"n410184081","410184081","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0502494062708238,2693.4762580202,c(787532.313262867, 5248234.33203738)
"n412151329","412151329","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cable_overhead",NA,NA,0.00340617341826277,2693.4762580202,c(698178.778940017, 5223695.01515356)
"n471777173","471777173","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"attraction","spring","946",NA,NA,NA,NA,NA,NA,NA,NA,"Source du Doubs",0.355843414818009,2693.4762580202,c(745332.775596871, 5177369.73692217)
"n476832278","476832278","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","attraction","spring",NA,NA,"fr:Loue",NA,NA,NA,NA,NA,NA,"Source de la Loue",0.312320306013081,2693.4762580202,c(750806.279431577, 5211640.41550299)
"n497205934","497205934","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"attraction",NA,NA,NA,"fr:Saut du Doubs",NA,"27","Q2227821",NA,NA,NA,"Saut-du-Doubs",0.196762748553221,2693.4762580202,c(781884.749912155, 5221538.34133721)
"n895583814","895583814","node","dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00340617341826293,2693.4762580202,c(793409.746468327, 5271167.08429406)
"n929409575","929409575","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,0.0107708912263386,2693.4762580202,c(799331.990658257, 5239798.59763448)
"n942334913","942334913","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Le Grand Saut",0.520641607226307,2693.4762580202,c(750297.56197812, 5212386.03607145)
"n944299421","944299421","node","hazard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170292866196961,2693.4762580202,c(762056.347387803, 5284684.01769139)
